,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,has_order,window_adds,window_removes,window_purchases,shipping_time,window_total_profit,window_total_volume,window_num_unique_materials,total_order_quantity,sales_office_desc,mode_distribution_mode,mode_cold_drink_channel,mode_sub_trade_channel,mode_most_frequent_event,mode_device_category,mode_device_brand,mode_device_os,mode_pack_type,mode_trade_mark,mode_flavour,mode_bev_cat,mode_pack_size_oz,scheduled_frequency
10868,501365449,2025-02-03 15:00:00,2025-02-10 15:00:00,1,0,0,0,24hrs,60215.63999999956,5304.0,36,4214.0,,,,,,,,,Plastic Bottle - Other,Blueberry Hill,Vanilla Raspberry,CORE SPARKLING,20.0,7
10869,501500960,2024-12-11 18:00:00,2025-01-08 18:00:00,1,666,222,222,72hrs,54490.31999999999,4128.0,4,3456.0,"Draper, UT",Sideload,Store,General Store,view_item_list,desktop,Google,Windows,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0,28
10870,600053550,2024-11-20 18:00:00,2024-11-27 18:00:00,0,0,0,0,72hrs,5052.2300000000005,294.0,20,,,,,,,,,,Bag-In-Box,Fizz Factory,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),640.0,7
10871,600064946,2024-06-21 15:00:00,2024-06-28 15:00:00,0,0,0,0,24hrs,3113.09,242.0,4,,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,7
10872,600053550,2024-11-18 18:00:00,2024-11-25 18:00:00,0,0,0,0,72hrs,5052.2300000000005,294.0,20,,,,,,,,,,Bag-In-Box,Fizz Factory,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),640.0,7
10873,600583399,2024-06-20 11:00:00,2024-06-27 11:00:00,0,0,0,0,24hrs,2528.64,218.0,53,,,,,,,,,,Aluminum Can,Fizz Factory,Vanilla Latte,CORE SPARKLING,12.0,7
10874,501403125,2024-07-15 15:00:00,2024-07-29 15:00:00,1,0,0,0,24hrs,843.4999999999998,70.0,6,48.0,,,,,,,,,Aluminum Can,Bobby's Bottles,Matcha,ENERGY DRINKS,16.0,14
10875,501680155,2024-07-15 11:00:00,2024-07-22 11:00:00,0,0,0,0,24hrs,10817.539999999997,732.0,48,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Ginger Snap,SPORTS DRINKS,20.0,7
10876,501692401,2024-08-07 15:00:00,2024-08-14 15:00:00,0,0,0,0,24hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,7
10877,501775587,2025-01-15 10:00:00,2025-01-22 10:00:00,0,0,0,0,24hrs,6128.63,840.0,1,,,,,,,,,,Plastic Bottle - Other,Blueberry Hill,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),16.9,7
10878,501088290,2025-05-23 14:00:00,2025-06-20 14:00:00,0,0,0,0,24hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,28
10879,600068387,2024-06-14 15:00:00,2024-06-21 15:00:00,1,0,0,0,24hrs,6197.92,366.0,20,213.0,,,,,,,,,Plastic Bottle - Other,Pete's Popcorn,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),20.0,7
10880,501471491,2025-02-04 16:30:00,2025-03-04 16:30:00,0,0,0,0,48hrs,187.48000000000002,14.0,5,,,,,,,,,,Aluminum Can,Fizz Factory,Yogurt,TEA,23.0,28
10881,501725646,2025-05-16 11:00:00,2025-06-13 11:00:00,0,0,0,0,24hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,28
10882,501591685,2025-04-25 12:00:00,2025-05-23 12:00:00,1,0,0,0,24hrs,1670.7900000000002,180.0,7,162.0,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Blackcurrant,DAIRY/SOY BEVERAGES,14.0,28
10883,501459489,2024-07-17 11:00:00,2024-07-24 11:00:00,1,0,0,0,24hrs,143099.45999999996,8112.0,24,10494.0,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0,7
10884,600075316,2025-04-09 15:00:00,2025-04-23 15:00:00,1,0,0,0,24hrs,7698.299999999999,558.0,3,814.0,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,14
10885,600057459,2024-11-18 18:00:00,2024-12-16 18:00:00,1,0,0,0,72hrs,25434.39999999998,2528.0,43,2440.0,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,28
10886,501706221,2024-08-12 11:00:00,2024-08-19 11:00:00,0,0,0,0,24hrs,362.81999999999994,30.0,7,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Cinnamon Roll,DAIRY/SOY BEVERAGES,12.0,7
10887,500845286,2024-07-09 15:30:00,2024-08-06 15:30:00,1,0,0,0,48hrs,360.36,24.0,4,16.0,,,,,,,,,Bag-In-Box,Fizz Factory,Vanilla Latte,DAIRY/SOY BEVERAGES,320.0,28
10888,501775160,2025-02-21 15:30:00,2025-02-28 15:30:00,1,0,0,0,24hrs,195.66000000000003,8.0,2,6.0,,,,,,,,,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0,7
10889,501571323,2025-05-08 17:00:00,2025-06-05 17:00:00,0,0,0,0,,820.6099999999999,35.0,4,,,,,,,,,,Plastic Bottle - Contour,Oliver Originals,Salted Caramel,CORE SPARKLING,20.0,28
10890,501353649,2025-04-25 15:30:00,2025-05-09 15:30:00,0,0,0,0,48hrs,3068.830000000001,159.0,12,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),20.0,14
10891,500997739,2024-06-13 15:00:00,2024-06-27 15:00:00,1,0,0,0,24hrs,2776.400000000001,322.0,3,308.0,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,14
10892,501708647,2024-08-26 11:00:00,2024-09-09 11:00:00,0,0,0,0,24hrs,46.66,2.0,1,,,,,,,,,,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0,14
10893,501759025,2025-02-14 16:30:00,2025-02-21 16:30:00,1,0,0,0,48hrs,8244.600000000002,736.0,23,740.0,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,7
10894,600580081,2024-06-13 11:30:00,2024-07-11 11:30:00,1,0,0,0,24hrs,11643.60000000001,1100.0,31,678.0,,,,,,,,,Aluminum Can,Fizz Factory,Vanilla Latte,ENERGY DRINKS,16.0,28
10895,600558308,2024-07-18 16:00:00,2024-08-15 16:00:00,0,0,0,0,24hrs,2580.4799999999996,284.0,18,,"Arlington, WA",OFS,Hot Beverage,Local Convenience,nav_link_click,desktop,Google,Windows,Aluminum Can,Fizz Factory,Mint Cookie,CORE SPARKLING,12.0,28
10896,500402105,2025-01-31 14:00:00,2025-02-28 14:00:00,1,0,0,0,24hrs,2651.720000000001,244.166,20,150.0,,,,,,,,,Aluminum Can,Fizz Factory,Vanilla Latte,ENERGY DRINKS,16.0,28
10897,600254451,2025-02-03 16:30:00,2025-02-10 16:30:00,1,0,0,0,48hrs,91147.0499999999,7640.0,48,8256.0,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,7
10898,501790800,2025-04-01 17:00:00,2025-04-29 17:00:00,0,0,0,0,,0.0,0.0,1,,"Spokane, WA",Sideload,Restaurant,Bar,update_cart,desktop,Google,Windows,0,0,0,0,0.0,28
