,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,SALES_OFFICE_DESCRIPTION,DISTRIBUTION_MODE_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,DEVICE_CATEGORY,DEVICE_MOBILE_BRAND_NAME,DEVICE_OPERATING_SYSTEM,ORDER_QUANTITY,ORDER_TYPE,PLANT_ID,WINDOW_FREQUENCY,SHIPPING_CONDITION_TIME,total_adds,total_removes,has_order,is_abandoned,total_profit,total_volume,PACK_TYPE_DESC,TRADE_MARK_DESC,FLAVOUR_DESC,BEV_CAT_DESC,PACK_SIZE_OZ
10215,501709641,2025-04-15 12:00:00,2025-04-22 12:00:00,,,,,,,,,,G164,7,24hrs,0.0,0.0,0,0,1393.1300000000003,49.0,Bag-In-Box,Fizz Factory,Ginger Snap,CORE SPARKLING,320.0
10216,501530649,2025-05-13 14:00:00,2025-05-27 14:00:00,"Bend, OR",OFS,Restaurant,Dining,desktop,Google,Windows,3.0,MYCOKE360,G222,14,24hrs,0.0,0.0,1,0,354.4999999999999,39.0,Glass Bottle  - Other,Fizz Factory,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),12.0
10217,600261080,2025-02-19 16:30:00,2025-03-19 16:30:00,"Tempe, AZ",Rapid Delivery,Workplace,Business Service,desktop,Apple,Macintosh,4.0,MYCOKE360,G261,28,48hrs,5247.0,0.0,1,0,561.4000000000001,77.0,Bag-In-Box,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,23.0
10218,501724198,2024-09-17 11:00:00,2024-09-24 11:00:00,,,,,,,,,,G143,7,24hrs,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
10219,501711163,2024-09-11 14:00:00,2024-09-18 14:00:00,,,,,,,,,,G222,7,24hrs,0.0,0.0,0,0,487.7500000000001,30.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0
10220,500392469,2025-02-05 15:00:00,2025-02-12 15:00:00,"Denver, CO",OFS,Hot Beverage,Local Convenience,desktop,Microsoft,Windows,1.0,SALES REP,G236,7,24hrs,0.0,0.0,1,0,3374.760000000002,458.0,Aluminum Can,Fizz Factory,Vanilla Latte,ENERGY DRINKS,16.0
10221,501336609,2025-02-10 11:00:00,2025-03-10 11:00:00,"Bellevue, WA",Bulk Distribution,Distributor,Food Distributor,desktop,Microsoft,Windows,50.0,MYCOKE360,G291,28,24hrs,1260.0,308.0,1,0,509287.7999999999,42934.0,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0
10222,501771812,2025-01-02 15:00:00,2025-01-09 15:00:00,,,,,,,,,,G236,7,24hrs,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
10223,501725260,2024-09-16 18:00:00,2024-09-30 18:00:00,,,,,,,,,,G111,14,72hrs,0.0,0.0,0,0,52.98,2.0,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0
10224,600582388,2024-06-26 16:00:00,2024-07-10 16:00:00,,,,,,,,3.0,SALES REP,G294,14,24hrs,0.0,0.0,1,0,3255.0,305.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
